node_id,node_type,level,token_estimate,title,start_anchor,end_anchor
body/sec_008/l2_001,section,2,118,一、合同如有未尽事宜，须经合同双方共同协商达成书面补充协议，补充协议与本合同具有同等法律效力，内容与合同冲突时，补充协议的法律效力优先于合同。补充协议之间的内容发生冲突的，以约定时间在后的为准。,p_0083,p_0083
body/sec_010/l2_003,section,2,117,三、甲乙双方确认，首部地址作为本合同项下争议所涉诉讼的送达地址。本协议项下与本协议有关的所有通知、请求、要求以及有权机构作出的诉讼及仲裁等文书应以书面、手机短信或电子邮件的形式发送至本协议首部列明的当事方的地址、手机号码。,p_0096,p_0096
attachments/att_002/visual_title_002,visual_title,,117,信息化建设保密协议,p_0126,p_0128
body/sec_009/l2_003,section,2,115,三、若乙方及其人员违反诚信廉洁合作承诺规定，甲方有权单方终止与乙方签订的采购业务合同，要求乙方返还因贿赂行为而获取的不当利益，并支付合同总金额的10%作为违约金，甲方有权从任何应付款项中直接冲抵。,p_0091,p_0092
body/sec_006/l2_002,section,2,112,二、 付款违约：乙方应在增值税发票开出后15个工作日内向甲方支付本项目合同款，每逾期1个工作日按合同金额的0.1%支付违约金；逾期超过15个工作日的，甲方有权取消其中标资格并解除合同，乙方须额外支付合同总额10%的赔偿金。,p_0072,p_0072
body/sec_006/l2_003,section,2,105,三、 回收服务违约：乙方在付款后15个工作日内未完成设备回收的，每逾期1个工作日，按合同金额0.5%支付违约金，逾期超过15个工作日的，甲方有权解除合同，乙方已付款项不予退还，并须支付合同总额20%的违约金。,p_0073,p_0073
body/sec_005/l2_003,section,2,101,三、 乙方确保对设备和介质的处理处置，符合《废弃电器电子产品处理污染控制技术规范》（HJ527-2010）及相关法律法规、当地的环保标准要求，并自行承担处置过程所引发的全部环保责任与相关法律后果。,p_0068,p_0068
body/sec_004/l2_004,section,2,100,四、 未经甲方书面同意，乙方不得将甲方数据以任何形式转移、挪用或谋取本合同约定以外的利益；乙方不得在协议允许范围之外处理甲方的客户个人信息，不得转委托他人处理甲方的客户个人信息。,p_0062,p_0062
attachments/att_002/heading_005,heading,2,94,四、保密期限,p_0136,p_0137
attachments/att_003/heading_003,heading,3,89,（一） 不以股权、金钱方式（包括现金， 银行卡， 有价证券， 购物卡、提货单、娱乐场所会员卡、打折卡、代币券证券等） 贿赂贵方项目人员和管理人员。,p_0147,p_0147
body/sec_004/l2_001,section,2,86,一、 乙方对因履行本协议而获悉的甲方的商业信息、技术资料和敏感数据（包括但不限于与本协议所涉项目有关的方案、价格、管理等商业信息以及技术资料）负有保密义务。,p_0059,p_0059
body/sec_010/l2_002,section,2,86,二、凡因本合同引起的或与本合同有关的任何争议，合同双方应首先尝试通过协商解决。双方仍不能达成争议解决协议的，则任一合同方有权向甲方住所地人民法院起诉。,p_0095,p_0095
body/sec_004/l2_003,section,2,82,三、 双方履行前述保密义务的期限为：自获得对方相关信息、资料、介质之日起直至对方书面同意解除此项义务，或相关信息和资料内容已被公开、公布或销毁而不成为秘密之日止。,p_0061,p_0061
body/sec_004/l2_005,section,2,80,五、任何一方违反前述保密义务，应赔偿因此给对方造成的损失。,p_0063,p_0064
attachments/att_003/visual_title_001,visual_title,,80,致浙江农村商业联合银行股份有限公司:,p_0144,p_0145
attachments/att_003/heading_007,heading,2,79,二、如违反以上任一承诺，同意贵方解除合同并将我方列入供应商黑名单， 由此造成的损失由我方承担及赔偿，触犯法律承担相应的法律责任。,p_0151,p_0151
body/sec_004/l2_002,section,2,75,二、 未经甲方书面允许，乙方不得以其他方式和目的使用甲方提供的商业信息和技术资料，更不得将该信息和资料、未消磁硬盘介质等透露给第三方。,p_0060,p_0060
body/sec_002/l2_001,section,2,74,一、 合同总价（含税价）：4171000.00元（大写：肆佰壹拾柒万壹仟元整），淘汰电子设备概况见附件1《2026年淘汰待处置设备清单》。,p_0044,p_0044
body/sec_005/l2_004,section,2,67,四、 甲方有权追踪设备的最终去向及处理方式。销毁硬盘介质、光盘等秘密载体，应当采用物理或化学的方法彻底销毁。,p_0069,p_0069
body/sec_003/l2_001,section,2,66,一、 乙方支付本合同约定款项后，安排专业回收团队赴甲方指定的场地，协助甲方完成设备存储介质的物理拆解及消磁工作。,p_0052,p_0052
attachments/att_003/heading_006,heading,3,66,（四） 不以其他任何方式（包括以朋友名义提供各种好处、活动抽奖、打牌中故意输钱、性贿赂等方式）贿赂贵方项目和管理人员。,p_0150,p_0150
body/sec_005/l2_002,section,2,62,二、 乙方需在甲方指定场地完成电子设备的存储介质拆解并对存储价质进行消磁，消磁后的存储介质交给甲方。,p_0067,p_0067
body/sec_002/l2_002,section,2,60,二、合同签订后10个工作日内乙方向甲方申请开具等额增值税发票，发票开出后15个工作日内乙方向甲方支付本项目合同款项。,p_0045,p_0045
attachments/att_003/heading_004,heading,3,51,（二） 不以实物方式（包括家电、设备、健身器材、汽车、住房等实物）贿赂贵方项目人员和管理人员。,p_0148,p_0148
attachments/att_003/heading_005,heading,3,50,（三） 不以消费方式（包括娱乐消费、旅游、国内或国外考察等方式）贿赂贵方项目人员和管理人员。,p_0149,p_0149
body/sec_006/l2_001,section,2,44,一、 因乙方原因导致甲方损失的，甲方有权就实际损失向乙方提出全额索赔；,p_0071,p_0071
body/sec_006/l2_005,section,2,44,五、乙方发生上述三款违约事件的，招标单位将有权禁止乙方参加本行五年内类似项目投标。,p_0075,p_0076
body/sec_008/l2_004,section,2,44,四、合同生效后，甲方因自身需求发生变化而提出解除合同的，由甲乙双方协商解决。,p_0086,p_0086
body/sec_010/l2_004,section,2,31,四、在诉讼期间，本合同不涉及争议的条款仍须履行。,p_0097,p_0098
body/sec_005/l2_001,section,2,24,一、 乙方自行承担所有设备拆解和运输费用；,p_0066,p_0066
attachments/att_003/heading_002,heading,2,20,一、在与贵方业务往来中承诺如下：,p_0146,p_0146
body/sec_010/l2_001,section,2,19,一、本合同适用中华人民共和国法律。,p_0094,p_0094
body/sec_011,section,1,15,第十一条 合同的生效及合同份数,p_0099,p_0099
attachments/att_002/visual_title_001,visual_title,,11,浙江省农商银行系统,p_0125,p_0125
attachments,attachments,0,0,附件,,
